,High,Phat_High_upper,Phat_High_lower,Low,Phat_Low_upper,Phat_Low_lower,Close,Order_Placed,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-03-08,38.41311143981624,40.51890131779335,37.7137382399778,37.94983891217537,39.40696455145634,36.8692075498395,38.02705001831055,False,37.49046014094488,39.69208955368967,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-09,38.99221226302098,39.758029730940564,37.002345523014164,38.14287812456694,39.15786328191265,36.75621072986676,38.64475631713867,False,37.7137382399778,39.40696455145634,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-10,39.108026423406635,40.43021078014382,37.66217899247613,38.45172018511205,39.333488960928676,37.028426135466354,38.76057052612305,False,37.002345523014164,39.15786328191265,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-11,39.069420109498225,40.49935305074296,37.894772443601695,38.45172233830201,39.599745127472936,37.365308178256576,38.83778381347656,False,37.66217899247613,39.333488960928676,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-14,39.378269438158306,40.308601709946984,37.82764046435802,38.992207973078315,39.510968340560645,37.3894841884456,39.14663314819336,False,37.894772443601695,39.599745127472936,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-15,38.99220680917372,40.64107910018219,38.25430364813678,38.68335646816273,40.131940965494344,37.967121415849036,38.76057052612305,False,37.82764046435802,39.510968340560645,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-16,38.915003598605175,40.10293700641278,37.8057230229367,38.45172799301717,39.688103628103235,37.60435784777227,38.490333557128906,False,38.25430364813678,40.131940965494344,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-17,39.146636400432136,40.007812913591295,37.83163715780944,38.760574903278794,39.44766358749184,37.4609650407437,38.95360565185547,False,37.8057230229367,39.688103628103235,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-18,38.87638193950988,40.251235459235275,38.13262645744308,38.52892903461121,39.7810679648391,37.82892356570357,38.60614013671875,False,37.83163715780944,39.44766358749184,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-21,39.108028613347926,39.87641644926548,37.861449596513175,38.72196713817338,39.40730066278995,37.60107248907241,38.83778381347656,False,38.13262645744308,39.7810679648391,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-22,38.992201538085936,40.10911451780937,38.15471699502799,38.56753458566498,39.668319930844355,37.84174896775354,38.60614013671875,False,37.861449596513175,39.40730066278995,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-23,38.29730008150077,39.942007502295034,38.067207107456746,37.9884526450431,39.42907951543402,37.677575945968584,38.220088958740234,False,38.15471699502799,39.668319930844355,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-24,37.94984840657368,39.220128347348876,37.26805751674116,37.56378688848204,38.84702102718154,37.0602704414928,37.679603576660156,False,38.067207107456746,39.42907951543402,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-29,37.60238342489135,38.871796437145946,36.99664184639437,37.177716446013456,38.43561843491426,36.68109137681926,37.525169372558594,False,37.26805751674116,38.84702102718154,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-30,38.027048595510884,38.489617876801184,36.6503536615352,37.332136884635126,38.03026372795199,36.307576858963415,37.872623443603516,False,36.99664184639437,38.43561843491426,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-03-31,37.718203384180185,38.96375615208195,37.118303014582466,37.332141924995476,38.20230437567209,36.53096929773217,37.370750427246094,False,36.6503536615352,38.03026372795199,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-01,37.447963393226864,38.64866550478356,36.87303754320583,36.94608229329583,38.13108744949337,36.53056888893986,37.02329635620117,False,37.118303014582466,38.20230437567209,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-05,36.67583669570678,38.23487179276311,36.50656823711911,36.01953342773909,37.71320432833519,36.12441210079987,36.096744537353516,False,36.87303754320583,38.13108744949337,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-06,35.63347485970257,37.56118631416381,35.73693032655034,35.28601894761428,36.88686100563465,35.045111952356024,35.47904968261719,False,36.50656823711911,37.71320432833519,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-07,35.59487180199104,36.55757123373137,34.486049279856765,35.24741878216156,36.223627236416895,34.316726924059594,35.36323547363281,False,35.73693032655034,36.88686100563465,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-08,35.51765823364258,36.577062673465626,34.60573277824125,34.784140789734245,36.18954281834728,34.37351605124866,35.51765823364258,False,34.486049279856765,36.223627236416895,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-11,35.903713450845274,36.46170890609289,34.5921158590172,35.32462129841229,35.65804655447139,33.851189015683545,35.67207717895508,False,34.60573277824125,36.18954281834728,0,0,0.0,0.0,0.0,0.0,0,0.0
