,High,Phat_High,Low,Phat_Low,Close,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2021-03-03,44.699060538777374,44.40877855896942,43.97655419606993,42.82486644019981,44.55455780029297,44.80206979575593,43.61592526537022,0,0,0.0,0.0,0.0,609.1789031533314,-8,252.7424407509876
2021-03-04,44.988065829523975,44.49515799898594,43.976557606266795,44.09574753085843,44.843563079833984,44.40877855896942,42.82486644019981,1,0,44.40877855896942,0.0,44.40877855896942,653.5876817123008,-9,249.9956139937949
2021-03-05,44.602726169601,45.154676887560164,43.83205343753884,43.94276418459404,44.410057067871094,44.49515799898594,44.09574753085843,1,1,44.49515799898594,44.09574753085843,0.39941046812750614,653.9870921804282,-9,254.2965785695884
2021-03-08,46.52941002971273,44.55895590661034,45.18073366173782,43.81763823022962,45.99957275390625,45.154676887560164,43.94276418459404,1,0,45.18073366173782,0.0,45.18073366173782,699.167825842166,-10,239.17209830310355
2021-03-09,47.4927507768224,46.569574079115,46.33673986306486,45.301871230940144,46.962913513183594,44.55895590661034,43.81763823022962,1,0,46.33673986306486,0.0,46.33673986306486,745.5045657052309,-11,228.91251706021137
2021-03-10,46.24040821335078,47.595499504748794,45.22890001865523,46.397019300243734,45.99957275390625,46.569574079115,45.301871230940144,0,1,0.0,45.301871230940144,-45.301871230940144,700.2026944742908,-10,240.20696693522825
2021-03-11,46.705940478833696,46.16799857650528,45.96536001532115,45.099234709287984,46.31096649169922,47.595499504748794,46.397019300243734,0,1,0.0,46.397019300243734,-46.397019300243734,653.805675174047,-9,237.00697674875403
2021-03-12,45.71850284638266,46.68982008631394,45.126039943597696,46.059815738442396,45.175411224365234,46.16799857650528,45.099234709287984,0,0,0.0,0.0,0.0,653.805675174047,-9,247.2269741547599
2021-03-15,45.91598892211914,45.6649358791956,45.175408455633345,45.032302464578656,45.91598892211914,46.68982008631394,46.059815738442396,0,1,0.0,45.91598892211914,-45.91598892211914,607.8896862519279,-8,240.56177487497473
2021-03-16,45.422269919820565,45.9243682004146,44.87917831544101,45.201465278295636,45.22478103637695,45.6649358791956,45.032302464578656,0,1,0.0,45.032302464578656,-45.032302464578656,562.8573837873492,-7,246.28391653271058
2021-03-17,45.42227139499018,45.54108834846686,44.78043344465041,44.85068087211053,45.175411224365234,45.9243682004146,45.201465278295636,0,1,0.0,45.201465278295636,-45.201465278295636,517.6559185090537,-6,246.60345116286226
2021-03-18,46.212223052978516,45.290457439802765,45.52101382388527,44.778475498566436,46.212223052978516,45.54108834846686,44.85068087211053,1,0,45.54108834846686,0.0,45.54108834846686,563.1970068575205,-7,239.71144548667087
2021-03-19,47.05154989073005,46.32728771319777,46.11348049173116,45.586302658424295,46.212223052978516,45.290457439802765,44.778475498566436,1,0,46.11348049173116,0.0,46.11348049173116,609.3104873492516,-8,239.6127029254235
2021-03-22,46.06410581496755,47.059922095214496,45.22477903909654,46.14176925277353,45.42226791381836,46.32728771319777,45.586302658424295,0,1,0.0,45.586302658424295,-45.586302658424295,563.7241846908273,-7,245.7683092940988
2021-03-23,45.37290032713758,46.05513412406772,44.48420220200259,45.13094533688127,44.780433654785156,47.059922095214496,46.14176925277353,0,1,0.0,45.37290032713758,-45.37290032713758,518.3512843636897,-6,249.6686824349788
2021-03-24,44.73106101583987,45.242970155379425,43.743620358683195,44.444044014165186,43.792991638183594,46.05513412406772,45.13094533688127,0,1,0.0,44.73106101583987,-44.73106101583987,473.62022334784984,-5,254.65526515693188
2021-03-25,44.43482937093553,44.68615491781371,43.941109044591805,43.698952543826415,44.18796920776367,45.242970155379425,44.444044014165186,0,1,0.0,44.43482937093553,-44.43482937093553,429.1853939769143,-4,252.43351714585964
2021-03-26,44.63231914186596,44.41771555506455,43.79299231032831,43.97733114710136,44.286712646484375,44.68615491781371,43.698952543826415,0,0,0.0,0.0,0.0,429.1853939769143,-4,252.03854339097683
2021-03-29,44.68169075931424,44.716239773812454,43.94111024949136,43.772715991630115,44.533573150634766,44.41771555506455,43.97733114710136,1,1,44.41771555506455,43.97733114710136,0.4403844079631867,429.6257783848775,-4,251.49148578233843
2021-03-30,45.22477980503201,44.66067144276716,44.18796790366652,43.95621296341974,44.87917709350586,44.716239773812454,43.772715991630115,1,0,44.716239773812454,0.0,44.716239773812454,474.34201815868994,-5,249.94613269116064
2021-03-31,45.37289977739859,45.2213144411588,44.58294799062039,44.203177113654995,44.928550720214844,44.66067144276716,43.95621296341974,1,0,44.66067144276716,0.0,44.66067144276716,519.0026896014571,-6,249.431385280168
2021-04-01,44.9779225455693,45.37853026355753,44.18797074922003,44.60822431512278,44.780433654785156,45.2213144411588,44.203177113654995,0,1,0.0,44.203177113654995,-44.203177113654995,474.7995124878021,-5,250.8973442138763
2021-04-07,45.372899569970244,44.92114237885014,44.829807954467256,44.1410546329743,45.32352828979492,45.37853026355753,44.60822431512278,0,0,0.0,0.0,0.0,474.7995124878021,-5,248.18187103882747
2021-04-08,46.36033918989007,45.382248015382785,45.37289854161461,44.89499704968892,46.261592864990234,44.92114237885014,44.1410546329743,1,0,45.37289854161461,0.0,45.37289854161461,520.1724110294167,-6,242.6028538394753
2021-04-09,46.26159399720335,46.42902350769038,45.718502380717574,45.399635902522995,45.965362548828125,45.382248015382785,44.89499704968892,1,0,45.718502380717574,0.0,45.718502380717574,565.8909134101343,-7,244.13337556833744
2021-04-12,46.01473280336423,46.311465795270074,45.12603847804873,45.731122064270735,45.22478103637695,46.42902350769038,45.399635902522995,0,1,0.0,45.399635902522995,-45.399635902522995,520.4912775076114,-6,249.14259128934964
2021-04-13,46.21221964591868,45.98672755532542,45.27415031608025,45.063890041121425,45.42226791381836,46.311465795270074,45.731122064270735,0,1,0.0,45.731122064270735,-45.731122064270735,474.76015544334064,-5,247.64881587424884
2021-04-14,45.66913135502506,46.18863845069065,44.6323193965387,45.302033291913965,45.57038879394531,45.98672755532542,45.063890041121425,0,1,0.0,45.063890041121425,-45.063890041121425,429.6962654022192,-4,247.41471022643793
