,High,Low,Close,r_Close,rhat_Close,Order,Order_Price,Order_Success,Trade_Price,Transaction,Cash,Position,Balance
2016-06-30,37.46816369168609,36.91889158341131,37.154293060302734,0.008483511852752257,-0.0026405891119154652,1.0,36.84042739868164,0,0.0,-0.0,-181.87928433181798,5.0,3.892180969695687
2016-07-04,38.25284266240033,37.703570476794525,37.782039642333984,0.01675452331587943,-0.0005559508232153283,-1.0,37.154293060302734,1,37.703570476794525,37.703570476794525,-144.17571385502345,4.0,6.952444714312492
2016-07-05,37.585865926777885,37.075826899102985,37.154293060302734,-0.01675452331587936,-0.00224489002711838,-1.0,37.782039642333984,0,0.0,0.0,-144.17571385502345,4.0,4.441458386187492
2016-07-06,36.95813024166585,36.13422345155724,36.72272872924805,-0.011683449866863597,-0.0014564160105955681,-1.0,37.154293060302734,0,0.0,0.0,-144.17571385502345,4.0,2.7152010619687417
2016-07-07,36.958120082135984,36.52655026245679,36.87965393066406,0.004264140195583938,-0.0004071201603771715,-1.0,36.72272872924805,1,36.72272872924805,36.72272872924805,-107.4529851257754,3.0,3.1859766662167885
2016-07-08,36.84042059073421,36.369614705403535,36.7619514465332,-0.003196632766386617,0.0014475398178604435,-1.0,36.87965393066406,0,0.0,0.0,-107.4529851257754,3.0,2.8328692138242104
2016-07-11,37.50739536228229,37.193527735990244,37.350460052490234,0.0158818466195216,-0.00040061268002138193,1.0,36.7619514465332,0,0.0,-0.0,-107.4529851257754,3.0,4.598395031695304
2016-07-12,38.13513514263885,37.66433218761059,37.97820281982422,0.016667156305884966,0.0029319524808321985,-1.0,37.350460052490234,1,37.66433218761059,37.66433218761059,-69.7886529381648,2.0,6.167752701483636
2016-07-13,38.488233593322924,38.135129928683085,38.17436599731445,0.005151858024263646,0.00011520168334304407,1.0,37.97820281982422,0,0.0,-0.0,-69.7886529381648,2.0,6.5600790564641045
2016-07-14,38.841341592681786,37.93896579270668,38.68440628051758,0.01327233717742586,-0.00017771353316112682,1.0,38.17436599731445,1,38.17436599731445,-38.17436599731445,-107.96301893547925,3.0,8.09019990607348
2016-07-15,39.07675040512217,38.56671428638979,38.91981506347656,0.006066925250987336,-0.0012260230687249627,-1.0,38.68440628051758,1,38.68440628051758,38.68440628051758,-69.27861265496168,2.0,8.561017471991448
2016-07-18,39.15521215045902,38.68440621476662,39.03750991821289,0.0030194710807390935,8.712543671607158e-05,-1.0,38.91981506347656,1,38.91981506347656,38.91981506347656,-30.358797591485114,1.0,8.678712326727776
2016-07-19,39.0767444057065,38.72364068953873,38.84134292602539,-0.005037758002332227,-0.0006179911509459889,1.0,39.03750991821289,1,39.03750991821289,-39.03750991821289,-69.396307509698,2.0,8.286378342352776
2016-07-20,39.58678303322632,38.802109446812686,39.429847717285156,0.015037867103554895,0.0010157828732374995,-1.0,38.84134292602539,1,38.84134292602539,38.84134292602539,-30.554964583672614,1.0,8.874883133612542
2016-07-21,39.822185847964846,39.50831520554082,39.58678436279297,0.0039722485692422,0.0003645564299811481,1.0,39.429847717285156,0,0.0,-0.0,-30.554964583672614,1.0,9.031819779120354
2016-07-22,39.54754447916868,39.23367389072616,39.50830841064453,-0.001984345049672478,-0.0007738291108537025,1.0,39.58678436279297,1,39.54754447916868,-39.54754447916868,-70.10250906284129,2.0,8.91410775844777
